Date,Discharge,Waterlevel,Precipitation,max_temperature,min_temperature,max_humidity,min_humidity
2000-01-01,28.8,0.93,0.0,21.0,3.6,91.7,81.4
2000-01-02,28.4,0.92,0.0,21.2,3.5,93.0,77.4
2000-01-03,29.0,0.93,0.0,22.5,4.0,93.1,81.9
2000-01-04,28.8,0.93,0.0,21.2,3.4,92.9,74.7
2000-01-05,30.2,0.95,0.0,21.2,1.5,92.4,76.0
2000-01-06,35.8,1.04,0.0,20.5,1.6,88.5,68.2
2000-01-07,38.0,1.07,0.0,19.4,1.5,97.0,72.7
2000-01-08,36.2,1.05,0.0,19.5,2.5,94.1,70.7
2000-01-09,33.5,1.01,0.0,16.8,2.5,91.2,85.4
2000-01-10,32.6,0.99,0.0,18.6,5.5,92.1,86.1
2000-01-11,31.4,0.97,0.0,22.2,5.0,91.9,81.4
2000-01-12,31.2,0.97,0.0,22.2,4.5,89.1,81.2
2000-01-13,31.6,0.98,11.2,19.6,5.0,87.8,87.9
2000-01-14,31.6,0.98,11.4,21.8,4.6,94.5,77.5
2000-01-15,30.8,0.96,0.0,21.6,2.4,88.4,79.1
2000-01-16,30.8,0.96,0.0,20.4,1.5,88.6,77.3
2000-01-17,30.4,0.96,0.0,19.3,1.6,88.5,79.8
2000-01-18,29.6,0.94,0.0,19.4,2.4,88.4,80.9
2000-01-19,28.8,0.93,0.0,21.5,3.5,97.1,74.8
2000-01-20,28.2,0.92,0.0,20.0,2.4,96.9,77.8
2000-01-21,27.6,0.91,0.0,18.0,3.0,94.2,87.6
2000-01-22,26.8,0.9,0.0,19.4,3.1,97.0,89.7
2000-01-23,26.4,0.89,0.0,18.5,3.2,97.0,81.1
2000-01-24,25.9,0.88,0.0,19.5,3.0,95.5,77.9
2000-01-25,25.4,0.87,0.0,20.7,3.4,97.0,80.3
2000-01-26,24.8,0.86,0.0,21.1,5.6,92.0,73.7
2000-01-27,24.3,0.85,0.0,22.2,4.5,97.2,71.0
2000-01-28,23.7,0.84,0.0,22.6,4.2,88.9,57.6
2000-01-29,24.6,0.86,0.0,22.0,3.1,97.1,71.6
2000-01-30,24.6,0.86,0.0,19.6,3.0,91.3,68.5
2000-01-31,25.9,0.88,0.0,19.5,5.0,94.7,74.5
2000-02-01,28.8,0.93,0.0,19.8,8.5,77.9,59.5
2000-02-02,28.4,0.92,0.0,20.8,7.0,89.7,66.2
2000-02-03,29.0,0.93,0.0,18.8,7.5,95.1,77.2
2000-02-04,28.8,0.93,0.0,21.5,5.0,92.2,89.9
2000-02-05,30.2,0.95,6.6,18.4,8.0,90.8,93.6
2000-02-06,37.1,1.06,16.0,20.0,8.4,95.2,79.7
2000-02-07,38.0,1.07,0.0,20.4,4.6,94.6,80.5
2000-02-08,36.2,1.05,0.0,20.2,5.2,94.8,81.4
2000-02-09,33.5,1.01,0.0,18.8,5.3,100.0,82.2
2000-02-10,32.6,0.99,0.0,19.7,3.5,100.0,68.7
2000-02-11,31.4,0.97,0.0,19.5,7.3,63.3,62.9
2000-02-12,31.2,0.97,2.0,19.6,6.0,94.7,72.8
2000-02-13,31.6,0.98,0.0,21.2,4.8,97.2,70.5
2000-02-14,31.6,0.98,0.0,20.5,5.5,97.3,67.7
2000-02-15,30.8,0.96,0.0,23.4,4.6,94.8,64.2
2000-02-16,30.8,0.96,0.0,21.0,6.5,95.0,72.4
2000-02-17,29.8,0.95,0.0,22.2,4.5,94.3,53.0
2000-02-18,29.6,0.94,0.0,21.7,4.6,88.9,44.9
2000-02-19,28.8,0.93,0.0,22.2,4.0,94.1,45.5
2000-02-20,28.2,0.92,0.0,22.3,4.2,85.5,49.8
2000-02-21,27.6,0.91,0.0,23.1,5.0,92.0,50.3
2000-02-22,26.8,0.9,0.0,23.5,5.4,87.0,29.8
2000-02-23,26.4,0.89,0.0,23.2,5.3,75.4,43.2
2000-02-24,25.9,0.88,0.0,23.4,5.0,76.8,45.8
2000-02-25,25.4,0.87,0.0,22.0,5.8,87.2,51.2
2000-02-26,24.8,0.86,0.0,21.9,5.5,86.2,51.4
2000-02-27,24.3,0.85,0.0,21.2,5.2,86.7,70.8
2000-02-28,23.7,0.84,0.0,22.2,6.5,87.2,66.4
2000-02-29,24.6,0.86,0.0,22.3,7.0,86.0,60.2
2000-03-01,23.7,0.84,0.0,23.6,9.4,92.8,68.7
2000-03-02,23.9,0.84,0.0,24.4,12.0,93.3,67.5
2000-03-03,23.2,0.83,0.8,25.3,8.0,85.9,50.0
2000-03-04,23.6,0.84,0.0,27.5,9.7,79.0,59.5
2000-03-05,21.8,0.8,0.0,27.7,11.4,79.7,52.7
2000-03-06,21.0,0.79,0.0,27.9,12.5,89.6,61.0
2000-03-07,21.0,0.79,0.0,28.6,10.2,87.0,55.2
2000-03-08,21.6,0.8,0.0,26.2,11.6,76.3,47.3
2000-03-09,21.1,0.79,0.0,24.6,8.5,88.6,56.0
2000-03-10,20.6,0.78,0.0,25.8,9.4,83.0,56.6
2000-03-11,20.6,0.78,0.0,26.6,8.6,84.2,56.2
2000-03-12,20.3,0.77,0.0,24.5,12.0,83.1,75.4
2000-03-13,20.5,0.78,0.0,21.4,12.5,73.5,78.4
2000-03-14,20.5,0.78,0.0,26.6,9.8,88.5,59.4
2000-03-15,21.0,0.79,0.0,26.8,10.0,86.4,54.2
2000-03-16,20.6,0.78,0.0,27.5,10.2,82.9,48.5
2000-03-17,20.6,0.78,0.0,29.0,12.4,83.6,43.2
2000-03-18,20.2,0.77,0.0,29.1,10.0,68.3,59.2
2000-03-19,20.2,0.77,0.0,28.6,12.6,78.7,61.3
2000-03-20,19.7,0.76,0.0,28.6,10.0,79.6,61.6
2000-03-21,19.7,0.76,0.0,29.4,10.1,82.6,51.9
2000-03-22,19.7,0.76,0.0,31.4,12.5,81.4,37.1
2000-03-23,23.8,0.84,5.6,23.0,13.5,73.4,72.0
2000-03-24,26.5,0.89,16.0,25.8,10.5,87.0,73.6
2000-03-25,29.8,0.95,0.0,29.0,10.0,89.3,70.7
2000-03-26,25.7,0.88,0.0,29.7,12.0,86.1,72.0
2000-03-27,23.4,0.83,0.0,30.7,12.0,84.1,65.7
2000-03-28,22.1,0.81,0.0,31.4,14.2,82.7,52.7
2000-03-29,21.4,0.8,0.0,32.5,13.0,86.1,51.9
2000-03-30,20.6,0.78,0.0,32.2,14.5,83.2,55.8
2000-03-31,20.6,0.78,0.0,34.2,13.0,86.6,53.7
2000-04-01,23.7,0.84,0.0,35.2,14.0,84.8,62.6
2000-04-02,23.9,0.84,0.0,33.5,16.0,74.6,46.5
2000-04-03,23.2,0.83,0.0,32.7,14.8,80.8,49.5
2000-04-04,23.6,0.84,0.0,33.2,14.4,78.3,39.4
2000-04-05,21.8,0.8,0.0,33.6,14.5,74.7,45.7
2000-04-06,21.0,0.79,0.0,34.0,15.4,65.8,32.1
2000-04-07,21.0,0.79,0.0,34.2,12.5,69.7,47.9
2000-04-08,21.6,0.8,0.0,36.2,14.8,78.7,26.7
2000-04-09,21.1,0.79,0.0,34.5,17.2,71.4,52.8
2000-04-10,20.6,0.78,0.0,33.7,16.0,72.7,59.3
2000-04-11,20.6,0.78,0.0,33.8,15.6,71.1,50.1
2000-04-12,20.3,0.77,0.0,32.5,18.5,60.4,58.7
2000-04-13,20.5,0.78,0.0,32.4,18.9,84.6,64.4
2000-04-14,20.5,0.78,0.0,32.8,20.4,82.9,62.5
2000-04-15,21.0,0.79,6.6,31.6,16.0,74.3,59.7
2000-04-16,20.6,0.78,0.0,31.4,16.5,85.7,71.6
2000-04-17,20.6,0.78,0.0,33.4,17.0,75.1,49.0
2000-04-18,20.2,0.77,0.0,33.0,18.5,76.0,58.1
2000-04-19,20.2,0.77,0.0,34.0,20.0,85.6,64.4
2000-04-20,19.7,0.76,0.0,34.2,21.0,81.9,61.2
2000-04-21,19.7,0.76,0.0,34.4,20.0,71.9,61.9
2000-04-22,19.7,0.76,0.0,34.0,20.0,86.8,61.2
2000-04-23,23.8,0.84,0.0,35.0,19.5,70.5,66.6
2000-04-24,27.9,0.91,12.4,31.0,16.5,86.2,83.6
